Sample	Strain	Frequency
initial_5	UWOPS03-461.4	0.059876089
initial_5	UWOPS05-217.3	0.031932849
initial_5	UWOPS83-787.3	0.008258686
initial_5	UWOPS87-2421	0.031181669
initial_5	WE372 	0.022623862
initial_5	Y55	0.015508223
initial_5	Y9J 	0.004013564
initial_5	YIIc17_E5	0.010269307
initial_5	YJM145 	0.023733742
initial_5	YJM269 	0.010212493
initial_5	YJM320 	0.017830863
initial_5	YJM326 	0.020722878
initial_5	YJM413 	0.016786704
initial_5	YJM421 	0.008417153
initial_5	YJM434 	0.041234774
initial_5	YJM436 	0.006198621
initial_5	YJM454 	0.018928459
initial_5	YJM975	0.012753485
initial_5	YJM978	0.01600297
initial_5	YPS128	0.017793704
initial_5	YPS606	0.018680932
initial_6	273614N	0.020298407
initial_6	CLIB154 	0.042731626
initial_6	CLIB294	0.035224274
initial_6	CLIB413 	0.089127841
initial_6	CLIB483 	0.009665251
initial_6	DBVPG1106	0.014905792
initial_6	DBVPG1399 	0.015792139
initial_6	DBVPG1853	0.011332547
initial_6	DBVPG3591 	0.018555073
initial_6	DBVPG4651	0.009423086
initial_6	DBVPG6040	0.014356467
initial_6	DBVPG6765	0.010456991
initial_6	EM93	0.03024497
initial_6	I14 	0.017236594
initial_6	K12 	0.019411809
initial_6	L-1374	0.01857264
initial_6	L-1528	0.103521198
initial_6	M22 	0.013569746
initial_6	NCYC361	0.018496853
initial_6	S288c	0.017927704
initial_6	SSP81	0.024342806
initial_6	T73 	0.025614232
initial_6	UWOPS03-461.4	0.055538993
initial_6	UWOPS05-217.3	0.031481891
initial_6	UWOPS83-787.3	0.008366847
initial_6	UWOPS87-2421	0.031951164
initial_6	WE372 	0.022745649
initial_6	Y55	0.015630278
initial_6	Y9J 	0.004138379
initial_6	YIIc17_E5	0.010071284
initial_6	YJM145 	0.02388997
initial_6	YJM269 	0.010963654
initial_6	YJM320 	0.018693596
initial_6	YJM326 	0.021557161
initial_6	YJM413 	0.017273483
initial_6	YJM421 	0.009413048
initial_6	YJM434 	0.044155503
initial_6	YJM436 	0.006361524
initial_6	YJM454 	0.020175192
initial_6	YJM975	0.012171967
initial_6	YJM978	0.015562522
initial_6	YPS128	0.018590959
initial_6	YPS606	0.020458888
initial_7	273614N	0.019684896
initial_7	CLIB154 	0.042005286
initial_7	CLIB294	0.035199488
initial_7	CLIB413 	0.089290582
initial_7	CLIB483 	0.010410941
initial_7	DBVPG1106	0.014496396
initial_7	DBVPG1399 	0.015185289
initial_7	DBVPG1853	0.012310713
initial_7	DBVPG3591 	0.017577833
initial_7	DBVPG4651	0.009816779
initial_7	DBVPG6040	0.014956088
initial_7	DBVPG6765	0.011303258
initial_7	EM93	0.030063616
initial_7	I14 	0.017577189
initial_7	K12 	0.020560244
initial_7	L-1374	0.019471806
initial_7	L-1528	0.097755137
initial_7	M22 	0.014407035
initial_7	NCYC361	0.01956267
initial_7	S288c	0.017073032
initial_7	SSP81	0.023501411
initial_7	T73 	0.027252193
initial_7	UWOPS03-461.4	0.051295138
initial_7	UWOPS05-217.3	0.030016358
initial_7	UWOPS83-787.3	0.009126812
initial_7	UWOPS87-2421	0.031268695
initial_7	WE372 	0.022584605
initial_7	Y55	0.016030348
initial_7	Y9J 	0.004110158
initial_7	YIIc17_E5	0.009862103
initial_7	YJM145 	0.025086058
initial_7	YJM269 	0.010714896
initial_7	YJM320 	0.018379286
initial_7	YJM326 	0.020599339
initial_7	YJM413 	0.016767144
initial_7	YJM421 	0.009467499
initial_7	YJM434 	0.045846504
initial_7	YJM436 	0.006273287
initial_7	YJM454 	0.019830967
initial_7	YJM975	0.013671314
initial_7	YJM978	0.016476077
initial_7	YPS128	0.019559448
initial_7	YPS606	0.023572083
initial_8	273614N	0.020197595
initial_8	CLIB154 	0.043919258
initial_8	CLIB294	0.034600814
initial_8	CLIB413 	0.090194841
initial_8	CLIB483 	0.009467584
initial_8	DBVPG1106	0.01373632
initial_8	DBVPG1399 	0.01537665
initial_8	DBVPG1853	0.012165712
initial_8	DBVPG3591 	0.018985087
initial_8	DBVPG4651	0.010073219
initial_8	DBVPG6040	0.014997097
initial_8	DBVPG6765	0.010459579
initial_8	EM93	0.031994893
initial_8	I14 	0.017153949
initial_8	K12 	0.019781943
initial_8	L-1374	0.01883636
initial_8	L-1528	0.099206754
initial_8	M22 	0.013488579
initial_8	NCYC361	0.018591919
initial_8	S288c	0.017344551
initial_8	SSP81	0.024429922
initial_8	T73 	0.025527429
initial_8	UWOPS03-461.4	0.054490022
initial_8	UWOPS05-217.3	0.031627716
initial_8	UWOPS83-787.3	0.008310565
initial_8	UWOPS87-2421	0.032720994
initial_8	WE372 	0.022412411
initial_8	Y55	0.015498973
initial_8	Y9J 	0.00401295
initial_8	YIIc17_E5	0.010054447
initial_8	YJM145 	0.023855539
initial_8	YJM269 	0.011088936
