Sample	Strain	Frequency
larvae_1st_1	SSP81	0.170150475
larvae_1st_1	T73 	0.014482454
larvae_1st_1	UWOPS03-461.4	0.001822333
larvae_1st_1	UWOPS05-217.3	0.000604915
larvae_1st_1	UWOPS83-787.3	5.97E-05
larvae_1st_1	UWOPS87-2421	0.003407449
larvae_1st_1	WE372 	0.008365007
larvae_1st_1	Y55	0.030285389
larvae_1st_1	Y9J 	0.000103308
larvae_1st_1	YIIc17_E5	0.011234618
larvae_1st_1	YJM145 	0.011630469
larvae_1st_1	YJM269 	0.000486918
larvae_1st_1	YJM320 	0.002771689
larvae_1st_1	YJM326 	0.019555071
larvae_1st_1	YJM413 	0.00088179
larvae_1st_1	YJM421 	0.000943236
larvae_1st_1	YJM434 	0.023746877
larvae_1st_1	YJM436 	0.000261942
larvae_1st_1	YJM454 	0.001219621
larvae_1st_1	YJM975	0.012340405
larvae_1st_1	YJM978	0.011712968
larvae_1st_1	YPS128	0.007651154
larvae_1st_1	YPS606	0.014664283
larvae_1st_2	273614N	0.005932043
larvae_1st_2	CLIB154 	0.027388805
larvae_1st_2	CLIB294	0.01064342
larvae_1st_2	CLIB413 	0.349000856
larvae_1st_2	CLIB483 	0.002464353
larvae_1st_2	DBVPG1106	0.020431769
larvae_1st_2	DBVPG1399 	0.007020439
larvae_1st_2	DBVPG1853	0.014360433
larvae_1st_2	DBVPG3591 	0.026205986
larvae_1st_2	DBVPG4651	0.001065571
larvae_1st_2	DBVPG6040	0.011856087
larvae_1st_2	DBVPG6765	0.00561444
larvae_1st_2	EM93	0.083821931
larvae_1st_2	I14 	0.008934839
larvae_1st_2	K12 	0.00665699
larvae_1st_2	L-1374	0.008423708
larvae_1st_2	L-1528	0.058675079
larvae_1st_2	M22 	0.00105172
larvae_1st_2	NCYC361	0.009081545
larvae_1st_2	S288c	0.014293323
larvae_1st_2	SSP81	0.155378871
larvae_1st_2	T73 	0.013095482
larvae_1st_2	UWOPS03-461.4	0.001896646
larvae_1st_2	UWOPS05-217.3	0.000634231
larvae_1st_2	UWOPS83-787.3	7.39E-05
larvae_1st_2	UWOPS87-2421	0.002711334
larvae_1st_2	WE372 	0.011450109
larvae_1st_2	Y55	0.037416332
larvae_1st_2	Y9J 	0.000108469
larvae_1st_2	YIIc17_E5	0.010713457
larvae_1st_2	YJM145 	0.014822792
larvae_1st_2	YJM269 	0.000424902
larvae_1st_2	YJM320 	0.003537142
larvae_1st_2	YJM326 	0.020772978
larvae_1st_2	YJM413 	0.000472308
larvae_1st_2	YJM421 	0.000714022
larvae_1st_2	YJM434 	0.022724054
larvae_1st_2	YJM436 	0.000213036
larvae_1st_2	YJM454 	0.000605163
larvae_1st_2	YJM975	0.011025207
larvae_1st_2	YJM978	0.012645219
larvae_1st_2	YPS128	0.00545915
larvae_1st_2	YPS606	0.000181822
larvae_1st_3	273614N	0.006490944
larvae_1st_3	CLIB154 	0.03311584
larvae_1st_3	CLIB294	0.011465886
larvae_1st_3	CLIB413 	0.335934275
larvae_1st_3	CLIB483 	0.002997647
larvae_1st_3	DBVPG1106	0.021861148
larvae_1st_3	DBVPG1399 	0.007387257
larvae_1st_3	DBVPG1853	0.013019529
larvae_1st_3	DBVPG3591 	0.028925046
larvae_1st_3	DBVPG4651	0.000913239
larvae_1st_3	DBVPG6040	0.011197599
larvae_1st_3	DBVPG6765	0.005362216
larvae_1st_3	EM93	0.073885457
larvae_1st_3	I14 	0.01145275
larvae_1st_3	K12 	0.005817699
larvae_1st_3	L-1374	0.00887446
larvae_1st_3	L-1528	0.062482727
larvae_1st_3	M22 	0.00142531
larvae_1st_3	NCYC361	0.008606425
larvae_1st_3	S288c	0.012443545
larvae_1st_3	SSP81	0.149033786
larvae_1st_3	T73 	0.016443607
larvae_1st_3	UWOPS03-461.4	0.001969211
larvae_1st_3	UWOPS05-217.3	0.000643941
larvae_1st_3	UWOPS83-787.3	6.64E-05
larvae_1st_3	UWOPS87-2421	0.003167158
larvae_1st_3	WE372 	0.011971894
larvae_1st_3	Y55	0.03837347
larvae_1st_3	Y9J 	0.000137933
larvae_1st_3	YIIc17_E5	0.012421314
larvae_1st_3	YJM145 	0.010324274
larvae_1st_3	YJM269 	0.000790969
larvae_1st_3	YJM320 	0.003485466
larvae_1st_3	YJM326 	0.020310031
larvae_1st_3	YJM413 	0.000887471
larvae_1st_3	YJM421 	0.001229273
larvae_1st_3	YJM434 	0.025919315
larvae_1st_3	YJM436 	0.000418094
larvae_1st_3	YJM454 	0.001150201
larvae_1st_3	YJM975	0.011972399
larvae_1st_3	YJM978	0.013765025
larvae_1st_3	YPS128	0.005854329
larvae_1st_3	YPS606	0.006005399
larvae_1st_4	273614N	0.009321596
larvae_1st_4	CLIB154 	0.025300021
larvae_1st_4	CLIB294	0.022820561
larvae_1st_4	CLIB413 	0.388592408
larvae_1st_4	CLIB483 	0.004919822
larvae_1st_4	DBVPG1106	0.022381931
larvae_1st_4	DBVPG1399 	0.007734261
larvae_1st_4	DBVPG1853	0.009719295
larvae_1st_4	DBVPG3591 	0.020255574
larvae_1st_4	DBVPG4651	0.002360741
larvae_1st_4	DBVPG6040	0.006485571
larvae_1st_4	DBVPG6765	0.003636718
larvae_1st_4	EM93	0.044797462
larvae_1st_4	I14 	0.019342068
larvae_1st_4	K12 	0.005699133
larvae_1st_4	L-1374	0.006479055
larvae_1st_4	L-1528	0.037150356
larvae_1st_4	M22 	0.003990024
larvae_1st_4	NCYC361	0.005748616
larvae_1st_4	S288c	0.010063642
larvae_1st_4	SSP81	0.113510684
larvae_1st_4	T73 	0.019425761
larvae_1st_4	UWOPS03-461.4	0.027164706
larvae_1st_4	UWOPS05-217.3	0.008784
larvae_1st_4	UWOPS83-787.3	0.00016413
larvae_1st_4	UWOPS87-2421	0.005363135
larvae_1st_4	WE372 	0.008672
larvae_1st_4	Y55	0.02314434
larvae_1st_4	Y9J 	0.000150486
larvae_1st_4	YIIc17_E5	0.00970667
larvae_1st_4	YJM145 	0.007790057
larvae_1st_4	YJM269 	0.001126509
larvae_1st_4	YJM320 	0.002358501
larvae_1st_4	YJM326 	0.016526203
larvae_1st_4	YJM413 	0.002175636
larvae_1st_4	YJM421 	0.001987681
larvae_1st_4	YJM434 	0.03205663
larvae_1st_4	YJM436 	0.002045921
larvae_1st_4	YJM454 	0.003137201
larvae_1st_4	YJM975	0.012527422
larvae_1st_4	YJM978	0.014327759
larvae_1st_4	YPS128	0.015928941
larvae_1st_4	YPS606	0.015126772
larvae_1st_5	273614N	0.006605962
larvae_1st_5	CLIB154 	0.023585949
larvae_1st_5	CLIB294	0.011930554
larvae_1st_5	CLIB413 	0.340505018
larvae_1st_5	CLIB483 	0.002330447
larvae_1st_5	DBVPG1106	0.024276708
larvae_1st_5	DBVPG1399 	0.007273215
larvae_1st_5	DBVPG1853	0.01555442
larvae_1st_5	DBVPG3591 	0.02728626
larvae_1st_5	DBVPG4651	0.000877226
larvae_1st_5	DBVPG6040	0.010147459
larvae_1st_5	DBVPG6765	0.004412995
larvae_1st_5	EM93	0.070927328
larvae_1st_5	I14 	0.011587446
larvae_1st_5	K12 	0.005692588
larvae_1st_5	L-1374	0.009156851
larvae_1st_5	L-1528	0.062160201
larvae_1st_5	M22 	0.001199791
larvae_1st_5	NCYC361	0.007763284
larvae_1st_5	S288c	0.014006188
larvae_1st_5	SSP81	0.160939067
larvae_1st_5	T73 	0.013870091
larvae_1st_5	UWOPS03-461.4	0.002723332
larvae_1st_5	UWOPS05-217.3	0.000815597
larvae_1st_5	UWOPS83-787.3	5.73E-05
larvae_1st_5	UWOPS87-2421	0.003503769
larvae_1st_5	WE372 	0.008929298
larvae_1st_5	Y55	0.036030473
larvae_1st_5	Y9J 	0.000106271
larvae_1st_5	YIIc17_E5	0.011182709
larvae_1st_5	YJM145 	0.009918918
larvae_1st_5	YJM269 	0.00059871
larvae_1st_5	YJM320 	0.004040851
larvae_1st_5	YJM326 	0.025764101
larvae_1st_5	YJM413 	0.000468539
larvae_1st_5	YJM421 	0.000647303
larvae_1st_5	YJM434 	0.024171623
larvae_1st_5	YJM436 	0.000249479
larvae_1st_5	YJM454 	0.000595747
larvae_1st_5	YJM975	0.01093639
larvae_1st_5	YJM978	0.01182211
larvae_1st_5	YPS128	0.00742472
larvae_1st_5	YPS606	0.007923727
larvae_1st_6	273614N	0.007867367
larvae_1st_6	CLIB154 	0.028359485
larvae_1st_6	CLIB294	0.012069837
larvae_1st_6	CLIB413 	0.333894321
larvae_1st_6	CLIB483 	0.00308847
larvae_1st_6	DBVPG1106	0.021597777
larvae_1st_6	DBVPG1399 	0.008471012
larvae_1st_6	DBVPG1853	0.013866066
larvae_1st_6	DBVPG3591 	0.031382541
larvae_1st_6	DBVPG4651	0.001193023
larvae_1st_6	DBVPG6040	0.011719064
larvae_1st_6	DBVPG6765	0.004938918
larvae_1st_6	EM93	0.075635463
larvae_1st_6	I14 	0.008461134
larvae_1st_6	K12 	0.005671414
larvae_1st_6	L-1374	0.007980193
larvae_1st_6	L-1528	0.072336486
larvae_1st_6	M22 	0.001112244
larvae_1st_6	NCYC361	0.008029802
larvae_1st_6	S288c	0.014108183
larvae_1st_6	SSP81	0.134439698
larvae_1st_6	T73 	0.015179379
larvae_1st_6	UWOPS03-461.4	0.005563855
larvae_1st_6	UWOPS05-217.3	0.001737182
larvae_1st_6	UWOPS83-787.3	6.45E-05
larvae_1st_6	UWOPS87-2421	0.003931817
larvae_1st_6	WE372 	0.011045176
larvae_1st_6	Y55	0.043817638
larvae_1st_6	Y9J 	0.000130826
larvae_1st_6	YIIc17_E5	0.011755063
larvae_1st_6	YJM145 	0.011541482
larvae_1st_6	YJM269 	0.000736448
larvae_1st_6	YJM320 	0.00422925
larvae_1st_6	YJM326 	0.02443074
larvae_1st_6	YJM413 	0.000504428
larvae_1st_6	YJM421 	0.000998539
larvae_1st_6	YJM434 	0.02386024
larvae_1st_6	YJM436 	0.000242336
larvae_1st_6	YJM454 	0.000632181
larvae_1st_6	YJM975	0.010258022
larvae_1st_6	YJM978	0.011259635
larvae_1st_6	YPS128	0.005689633
larvae_1st_6	YPS606	0.006169092
larvae_1st_7	273614N	0.008564889
larvae_1st_7	CLIB154 	0.033948308
larvae_1st_7	CLIB294	0.008680871
larvae_1st_7	CLIB413 	0.302883385
larvae_1st_7	CLIB483 	0.002149507
larvae_1st_7	DBVPG1106	0.018386165
larvae_1st_7	DBVPG1399 	0.006918507
larvae_1st_7	DBVPG1853	0.014915776
larvae_1st_7	DBVPG3591 	0.030927596
larvae_1st_7	DBVPG4651	0.00099271
larvae_1st_7	DBVPG6040	0.013787842
larvae_1st_7	DBVPG6765	0.007238662
larvae_1st_7	EM93	0.099907071
larvae_1st_7	I14 	0.007118938
larvae_1st_7	K12 	0.009623162
larvae_1st_7	L-1374	0.009050732
larvae_1st_7	L-1528	0.072858564
larvae_1st_7	M22 	0.00079905
larvae_1st_7	NCYC361	0.011522709
larvae_1st_7	S288c	0.013599705
larvae_1st_7	SSP81	0.143797805
larvae_1st_7	T73 	0.012326213
larvae_1st_7	UWOPS03-461.4	0.004013066
larvae_1st_7	UWOPS05-217.3	0.001170693
larvae_1st_7	UWOPS83-787.3	9.48E-05
larvae_1st_7	UWOPS87-2421	0.003141326
larvae_1st_7	WE372 	0.010502206
larvae_1st_7	Y55	0.046941732
larvae_1st_7	Y9J 	0.000148764
larvae_1st_7	YIIc17_E5	0.009557777
larvae_1st_7	YJM145 	0.019777955
larvae_1st_7	YJM269 	0.000696251
larvae_1st_7	YJM320 	0.004393438
larvae_1st_7	YJM326 	0.024210767
larvae_1st_7	YJM413 	0.000268132
larvae_1st_7	YJM421 	0.00049974
larvae_1st_7	YJM434 	0.019682995
larvae_1st_7	YJM436 	0.000165333
larvae_1st_7	YJM454 	0.000338683
larvae_1st_7	YJM975	0.008432693
larvae_1st_7	YJM978	0.009484731
larvae_1st_7	YPS128	0.00480196
larvae_1st_7	YPS606	0.001678807
larvae_1st_8	273614N	0.008708735
larvae_1st_8	CLIB154 	0.032479756
larvae_1st_8	CLIB294	0.010098376
larvae_1st_8	CLIB413 	0.409524565
larvae_1st_8	CLIB483 	0.002834415
larvae_1st_8	DBVPG1106	0.017555593
larvae_1st_8	DBVPG1399 	0.006622282
larvae_1st_8	DBVPG1853	0.011531356
larvae_1st_8	DBVPG3591 	0.020947663
larvae_1st_8	DBVPG4651	0.001249749
larvae_1st_8	DBVPG6040	0.011191132
larvae_1st_8	DBVPG6765	0.005101003
larvae_1st_8	EM93	0.074782525
larvae_1st_8	I14 	0.008781113
larvae_1st_8	K12 	0.009061341
larvae_1st_8	L-1374	0.006404409
larvae_1st_8	L-1528	0.047089639
larvae_1st_8	M22 	0.001283801
larvae_1st_8	NCYC361	0.00839814
larvae_1st_8	S288c	0.011583687
larvae_1st_8	SSP81	0.134510649
larvae_1st_8	T73 	0.011563787
larvae_1st_8	UWOPS03-461.4	0.003988494
larvae_1st_8	UWOPS05-217.3	0.001266996
larvae_1st_8	UWOPS83-787.3	7.97E-05
larvae_1st_8	UWOPS87-2421	0.0039568
larvae_1st_8	WE372 	0.009756973
larvae_1st_8	Y55	0.038955954
larvae_1st_8	Y9J 	9.43E-05
larvae_1st_8	YIIc17_E5	0.009252828
larvae_1st_8	YJM145 	0.009952882
larvae_1st_8	YJM269 	0.000548663
larvae_1st_8	YJM320 	0.002492864
larvae_1st_8	YJM326 	0.016813969
larvae_1st_8	YJM413 	0.00064389
larvae_1st_8	YJM421 	0.001000919
larvae_1st_8	YJM434 	0.02067908
larvae_1st_8	YJM436 	0.000260622
larvae_1st_8	YJM454 	0.000754596
larvae_1st_8	YJM975	0.009003851
larvae_1st_8	YJM978	0.009798248
larvae_1st_8	YPS128	0.007460313
larvae_1st_8	YPS606	0.001934251
larvae_5th_1	273614N	0.000152793
larvae_5th_1	CLIB154 	0.000363561
larvae_5th_1	CLIB294	0.000261011
larvae_5th_1	CLIB413 	0.010064262
larvae_5th_1	CLIB483 	9.10E-05
larvae_5th_1	DBVPG1106	9.53E-05
larvae_5th_1	DBVPG1399 	0.000109506
larvae_5th_1	DBVPG1853	9.66E-05
larvae_5th_1	DBVPG3591 	0.000145321
larvae_5th_1	DBVPG4651	7.32E-05
larvae_5th_1	DBVPG6040	0.000157689
larvae_5th_1	DBVPG6765	8.17E-05
larvae_5th_1	EM93	0.006042165
larvae_5th_1	I14 	0.000184743
larvae_5th_1	K12 	0.000141456
larvae_5th_1	L-1374	0.00014764
larvae_5th_1	L-1528	0.000800812
larvae_5th_1	M22 	0.000102292
larvae_5th_1	NCYC361	0.000149444
larvae_5th_1	S288c	0.000145321
larvae_5th_1	SSP81	0.970494913
larvae_5th_1	T73 	0.00018732
larvae_5th_1	UWOPS03-461.4	0.003807465
larvae_5th_1	UWOPS05-217.3	0.00178946
larvae_5th_1	UWOPS83-787.3	0.000135015
larvae_5th_1	UWOPS87-2421	0.000251735
larvae_5th_1	WE372 	0.000166707
larvae_5th_1	Y55	0.000125739
larvae_5th_1	Y9J 	2.71E-05
larvae_5th_1	YIIc17_E5	0.000086059
larvae_5th_1	YJM145 	0.000202522
larvae_5th_1	YJM269 	0.000515839
larvae_5th_1	YJM320 	0.000136561
larvae_5th_1	YJM326 	0.000157174
larvae_5th_1	YJM413 	0.000132696
larvae_5th_1	YJM421 	7.91E-05
larvae_5th_1	YJM434 	0.000429264
larvae_5th_1	YJM436 	0.000048698
larvae_5th_1	YJM454 	0.000136303
larvae_5th_1	YJM975	0.000196338
larvae_5th_1	YJM978	0.000189381
larvae_5th_1	YPS128	0.001298872
larvae_5th_1	YPS606	0
larvae_5th_2	273614N	0.00003056
larvae_5th_2	CLIB154 	6.52E-05
larvae_5th_2	CLIB294	6.01E-05
larvae_5th_2	CLIB413 	0.01410953
larvae_5th_2	CLIB483 	2.80E-05
larvae_5th_2	DBVPG1106	1.63E-05
larvae_5th_2	DBVPG1399 	2.19E-05
larvae_5th_2	DBVPG1853	0.00002292
larvae_5th_2	DBVPG3591 	2.16E-05
larvae_5th_2	DBVPG4651	1.32E-05
larvae_5th_2	DBVPG6040	7.05E-05
larvae_5th_2	DBVPG6765	1.73E-05
larvae_5th_2	EM93	0.006268865
larvae_5th_2	I14 	9.65E-05
larvae_5th_2	K12 	3.08E-05
larvae_5th_2	L-1374	4.05E-05
larvae_5th_2	L-1528	0.000172664
larvae_5th_2	M22 	3.11E-05
larvae_5th_2	NCYC361	3.46E-05
larvae_5th_2	S288c	6.21E-05
larvae_5th_2	SSP81	0.972182294
larvae_5th_2	T73 	4.58E-05
larvae_5th_2	UWOPS03-461.4	0.002866014
larvae_5th_2	UWOPS05-217.3	0.00114498
larvae_5th_2	UWOPS83-787.3	9.83E-05
larvae_5th_2	UWOPS87-2421	5.91E-05
larvae_5th_2	WE372 	3.69E-05
larvae_5th_2	Y55	4.43E-05
larvae_5th_2	Y9J 	5.60E-06
larvae_5th_2	YIIc17_E5	4.13E-05
larvae_5th_2	YJM145 	5.20E-05
larvae_5th_2	YJM269 	0.000459418
larvae_5th_2	YJM320 	2.55E-05
larvae_5th_2	YJM326 	3.57E-05
larvae_5th_2	YJM413 	2.04E-05
larvae_5th_2	YJM421 	3.34E-05
larvae_5th_2	YJM434 	0.000138793
larvae_5th_2	YJM436 	1.50E-05
larvae_5th_2	YJM454 	2.50E-05
larvae_5th_2	YJM975	9.80E-05
larvae_5th_2	YJM978	0.000119693
larvae_5th_2	YPS128	0.001238187
larvae_5th_2	YPS606	0
larvae_5th_3	273614N	2.90E-05
larvae_5th_3	CLIB154 	8.47E-05
larvae_5th_3	CLIB294	7.48E-05
larvae_5th_3	CLIB413 	0.015352125
larvae_5th_3	CLIB483 	4.66E-05
larvae_5th_3	DBVPG1106	1.67E-05
larvae_5th_3	DBVPG1399 	2.38E-05
larvae_5th_3	DBVPG1853	3.33E-05
larvae_5th_3	DBVPG3591 	3.26E-05
larvae_5th_3	DBVPG4651	1.70E-05
larvae_5th_3	DBVPG6040	9.67E-05
larvae_5th_3	DBVPG6765	1.62E-05
larvae_5th_3	EM93	0.00646467
larvae_5th_3	I14 	7.90E-05
larvae_5th_3	K12 	0.000040778
larvae_5th_3	L-1374	0.000042638
larvae_5th_3	L-1528	0.000238659
larvae_5th_3	M22 	4.56E-05
larvae_5th_3	NCYC361	0.000035484
larvae_5th_3	S288c	5.62E-05
larvae_5th_3	SSP81	0.965831196
larvae_5th_3	T73 	6.27E-05
larvae_5th_3	UWOPS03-461.4	0.005209423
larvae_5th_3	UWOPS05-217.3	0.002430368
larvae_5th_3	UWOPS83-787.3	0.000154384
larvae_5th_3	UWOPS87-2421	6.80E-05
larvae_5th_3	WE372 	3.48E-05
larvae_5th_3	Y55	5.72E-05
larvae_5th_3	Y9J 	8.16E-06
larvae_5th_3	YIIc17_E5	5.51E-05
larvae_5th_3	YJM145 	6.44E-05
larvae_5th_3	YJM269 	0.000752318
larvae_5th_3	YJM320 	3.53E-05
larvae_5th_3	YJM326 	3.63E-05
larvae_5th_3	YJM413 	2.46E-05
larvae_5th_3	YJM421 	4.74E-05
larvae_5th_3	YJM434 	0.000167977
larvae_5th_3	YJM436 	1.82E-05
larvae_5th_3	YJM454 	2.92E-05
larvae_5th_3	YJM975	0.000145799
larvae_5th_3	YJM978	0.000133923
larvae_5th_3	YPS128	0.001806536
larvae_5th_3	YPS606	0
larvae_5th_4	273614N	5.39E-05
larvae_5th_4	CLIB154 	0.00016878
larvae_5th_4	CLIB294	0.000113119
larvae_5th_4	CLIB413 	0.016844215
larvae_5th_4	CLIB483 	5.66E-05
larvae_5th_4	DBVPG1106	3.83E-05
larvae_5th_4	DBVPG1399 	5.33E-05
larvae_5th_4	DBVPG1853	4.79E-05
larvae_5th_4	DBVPG3591 	5.00E-05
larvae_5th_4	DBVPG4651	2.42E-05
larvae_5th_4	DBVPG6040	0.000101448
larvae_5th_4	DBVPG6765	3.56E-05
larvae_5th_4	EM93	0.014514508
larvae_5th_4	I14 	8.50E-05
larvae_5th_4	K12 	7.51E-05
larvae_5th_4	L-1374	7.00E-05
larvae_5th_4	L-1528	0.000388733
larvae_5th_4	M22 	6.52E-05
larvae_5th_4	NCYC361	6.49E-05
larvae_5th_4	S288c	8.59E-05
larvae_5th_4	SSP81	0.954948824
larvae_5th_4	T73 	6.94E-05
larvae_5th_4	UWOPS03-461.4	0.005988708
larvae_5th_4	UWOPS05-217.3	0.002568812
larvae_5th_4	UWOPS83-787.3	0.000140052
larvae_5th_4	UWOPS87-2421	0.000106834
larvae_5th_4	WE372 	7.36E-05
larvae_5th_4	Y55	5.93E-05
larvae_5th_4	Y9J 	1.14E-05
larvae_5th_4	YIIc17_E5	5.12E-05
larvae_5th_4	YJM145 	9.79E-05
larvae_5th_4	YJM269 	0.000654473
larvae_5th_4	YJM320 	5.39E-05
larvae_5th_4	YJM326 	6.85E-05
larvae_5th_4	YJM413 	4.79E-05
larvae_5th_4	YJM421 	4.79E-05
larvae_5th_4	YJM434 	0.000193619
larvae_5th_4	YJM436 	2.27E-05
larvae_5th_4	YJM454 	3.80E-05
larvae_5th_4	YJM975	0.000117907
larvae_5th_4	YJM978	0.000140052
larvae_5th_4	YPS128	0.001562415
larvae_5th_4	YPS606	0
larvae_5th_5	273614N	3.49E-05
larvae_5th_5	CLIB154 	0.000101197
larvae_5th_5	CLIB294	7.08E-05
larvae_5th_5	CLIB413 	0.021255278
larvae_5th_5	CLIB483 	3.82E-05
larvae_5th_5	DBVPG1106	2.42E-05
larvae_5th_5	DBVPG1399 	3.20E-05
larvae_5th_5	DBVPG1853	3.13E-05
larvae_5th_5	DBVPG3591 	0.000039173
larvae_5th_5	DBVPG4651	2.06E-05
larvae_5th_5	DBVPG6040	8.94E-05
larvae_5th_5	DBVPG6765	0.000025136
larvae_5th_5	EM93	0.010414146
larvae_5th_5	I14 	5.65E-05
larvae_5th_5	K12 	0.000042111
larvae_5th_5	L-1374	4.96E-05
larvae_5th_5	L-1528	0.000242546
larvae_5th_5	M22 	4.24E-05
larvae_5th_5	NCYC361	4.34E-05
larvae_5th_5	S288c	5.13E-05
larvae_5th_5	SSP81	0.955189335
larvae_5th_5	T73 	5.35E-05
larvae_5th_5	UWOPS03-461.4	0.006268009
larvae_5th_5	UWOPS05-217.3	0.002677802
larvae_5th_5	UWOPS83-787.3	0.000121436
larvae_5th_5	UWOPS87-2421	7.80E-05
larvae_5th_5	WE372 	5.35E-05
larvae_5th_5	Y55	6.27E-05
larvae_5th_5	Y9J 	6.20E-06
larvae_5th_5	YIIc17_E5	4.05E-05
larvae_5th_5	YJM145 	0.000067247
larvae_5th_5	YJM269 	0.00058074
larvae_5th_5	YJM320 	4.02E-05
larvae_5th_5	YJM326 	3.98E-05
larvae_5th_5	YJM413 	3.46E-05
larvae_5th_5	YJM421 	4.31E-05
larvae_5th_5	YJM434 	0.000151143
larvae_5th_5	YJM436 	1.86E-05
larvae_5th_5	YJM454 	3.30E-05
larvae_5th_5	YJM975	0.000119478
larvae_5th_5	YJM978	0.000128618
larvae_5th_5	YPS128	0.001488248
larvae_5th_5	YPS606	0
larvae_5th_6	273614N	4.99E-05
larvae_5th_6	CLIB154 	0.000133979
larvae_5th_6	CLIB294	0.000127102
larvae_5th_6	CLIB413 	0.034730696
larvae_5th_6	CLIB483 	4.92E-05
larvae_5th_6	DBVPG1106	4.38E-05
larvae_5th_6	DBVPG1399 	4.58E-05
larvae_5th_6	DBVPG1853	5.58E-05
larvae_5th_6	DBVPG3591 	6.60E-05
larvae_5th_6	DBVPG4651	2.45E-05
larvae_5th_6	DBVPG6040	9.86E-05
larvae_5th_6	DBVPG6765	4.48E-05
larvae_5th_6	EM93	0.044222849
larvae_5th_6	I14 	0.00012481
larvae_5th_6	K12 	5.91E-05
larvae_5th_6	L-1374	7.11E-05
larvae_5th_6	L-1528	0.000300307
larvae_5th_6	M22 	5.53E-05
larvae_5th_6	NCYC361	8.46E-05
larvae_5th_6	S288c	8.61E-05
larvae_5th_6	SSP81	0.874508769
larvae_5th_6	T73 	0.000118187
larvae_5th_6	UWOPS03-461.4	0.028831786
larvae_5th_6	UWOPS05-217.3	0.011555333
larvae_5th_6	UWOPS83-787.3	0.000153338
larvae_5th_6	UWOPS87-2421	0.000099593
larvae_5th_6	WE372 	6.44E-05
larvae_5th_6	Y55	9.68E-05
larvae_5th_6	Y9J 	1.04E-05
larvae_5th_6	YIIc17_E5	0.000137545
larvae_5th_6	YJM145 	8.97E-05
larvae_5th_6	YJM269 	0.000731537
larvae_5th_6	YJM320 	5.27E-05
larvae_5th_6	YJM326 	6.27E-05
larvae_5th_6	YJM413 	4.38E-05
larvae_5th_6	YJM421 	5.68E-05
larvae_5th_6	YJM434 	0.000363731
larvae_5th_6	YJM436 	2.17E-05
larvae_5th_6	YJM454 	5.48E-05
larvae_5th_6	YJM975	0.000320939
larvae_5th_6	YJM978	0.000250383
larvae_5th_6	YPS128	0.001900927
larvae_5th_6	YPS606	0
larvae_5th_7	273614N	3.71E-05
larvae_5th_7	CLIB154 	9.34E-05
larvae_5th_7	CLIB294	8.68E-05
larvae_5th_7	CLIB413 	0.048683078
larvae_5th_7	CLIB483 	3.63E-05
larvae_5th_7	DBVPG1106	2.68E-05
larvae_5th_7	DBVPG1399 	2.68E-05
larvae_5th_7	DBVPG1853	4.23E-05
larvae_5th_7	DBVPG3591 	3.22E-05
larvae_5th_7	DBVPG4651	2.07E-05
larvae_5th_7	DBVPG6040	7.34E-05
larvae_5th_7	DBVPG6765	0.000054878
larvae_5th_7	EM93	0.025120479
larvae_5th_7	I14 	7.32E-05
larvae_5th_7	K12 	4.10E-05
larvae_5th_7	L-1374	5.24E-05
larvae_5th_7	L-1528	0.000251183
larvae_5th_7	M22 	4.10E-05
larvae_5th_7	NCYC361	9.23E-05
larvae_5th_7	S288c	0.0001002
larvae_5th_7	SSP81	0.882974683
larvae_5th_7	T73 	7.40E-05
larvae_5th_7	UWOPS03-461.4	0.02805304
larvae_5th_7	UWOPS05-217.3	0.010290583
larvae_5th_7	UWOPS83-787.3	0.000126411
larvae_5th_7	UWOPS87-2421	7.89E-05
larvae_5th_7	WE372 	5.08E-05
larvae_5th_7	Y55	0.000165726
larvae_5th_7	Y9J 	8.46E-06
larvae_5th_7	YIIc17_E5	8.38E-05
larvae_5th_7	YJM145 	6.47E-05
larvae_5th_7	YJM269 	0.000583181
larvae_5th_7	YJM320 	4.45E-05
larvae_5th_7	YJM326 	5.02E-05
larvae_5th_7	YJM413 	2.95E-05
larvae_5th_7	YJM421 	3.80E-05
larvae_5th_7	YJM434 	0.000253094
larvae_5th_7	YJM436 	1.69E-05
larvae_5th_7	YJM454 	3.09E-05
larvae_5th_7	YJM975	0.000245176
larvae_5th_7	YJM978	0.000204496
larvae_5th_7	YPS128	0.001547505
larvae_5th_7	YPS606	0
larvae_5th_8	273614N	0.000111568
larvae_5th_8	CLIB154 	0.000288749
larvae_5th_8	CLIB294	0.000235901
larvae_5th_8	CLIB413 	0.03988004
larvae_5th_8	CLIB483 	7.63E-05
larvae_5th_8	DBVPG1106	7.84E-05
larvae_5th_8	DBVPG1399 	9.22E-05
larvae_5th_8	DBVPG1853	8.96E-05
larvae_5th_8	DBVPG3591 	9.83E-05
larvae_5th_8	DBVPG4651	5.16E-05
larvae_5th_8	DBVPG6040	0.000141694
larvae_5th_8	DBVPG6765	0.00007557
larvae_5th_8	EM93	0.014000369
larvae_5th_8	I14 	0.000165437
larvae_5th_8	K12 	0.000132503
larvae_5th_8	L-1374	0.000121269
larvae_5th_8	L-1528	0.000628304
larvae_5th_8	M22 	8.76E-05
larvae_5th_8	NCYC361	0.000128673
larvae_5th_8	S288c	0.0001468
larvae_5th_8	SSP81	0.923469006
