Gene	logFC	logCPM	PValue	FDR
YNL226W	6.043667554	4.370801884	8.73E-06	3.46E-05
YNL227C	7.205055738	5.0518613	2.84E-16	3.01E-15
YNL230C	-0.01931353	5.599969088	0.974181485	1
YNL233W	-1.285896978	6.540459528	4.40E-05	0.000157155
YNL235C	1.373673157	5.366555038	0.000278054	0.000868737
YNL236W	4.038941437	3.016854721	0.004939716	0.011935468
YNL237W	0.371314457	9.051820327	0.007091109	0.016493752
YNL239W	-2.291539602	9.180048526	2.32E-22	4.15E-21
YNL241C	-1.053846677	4.359924897	0.135282448	0.20997389
YNL242W	-1.683343331	8.400708929	7.55E-18	9.08E-17
YNL243W	4.051773415	-0.56085983	0.108254869	0.175860677
YNL248C	6.284438857	0.728418362	0.000757801	0.002202659
YNL249C	-3.912448905	8.192399941	5.00E-46	4.56E-44
YNL250W	7.094049989	1.384215583	6.93E-07	3.15E-06
YNL252C	0	-1.062674125	1	1
YNL253W	-0.503877445	5.985210496	0.047056346	0.086805019
YNL255C	0.404543736	8.376016237	0.008374791	0.01905891
YNL257C	-0.920085947	8.115006426	3.81E-06	1.59E-05
YNL259C	-5.029004	6.711928228	2.01E-15	2.02E-14
YNL264C	1.625759111	5.43849738	6.28E-08	3.20E-07
YNL266W	-2.938219209	9.529168978	2.48E-20	3.75E-19
YNL269W	-0.016549099	8.424876228	0.893417872	0.957114348
YNL270C	-0.421755692	8.572745808	0.000461113	0.001391466
YNL271C	1.041081514	4.919762197	0.094694669	0.157952552
YNL273W	10.58237957	4.551352643	5.75E-50	6.95E-48
YNL274C	0.175337141	8.574280592	0.256680558	0.355324046
YNL275W	0.445496383	8.226287726	0.000674587	0.001978981
YNL277W-A	-0.270422357	8.330705423	0.226379944	0.321500197
YNL278W	1.015541203	6.88693251	0.003637698	0.009099779
YNL279W	-0.356612047	7.848854305	0.160713296	0.242396935
YNL280C_2	0	-1.062674125	1	1
YNL281W	-0.382814879	9.135113058	0.005066839	0.012194853
YNL285W	-0.714547988	5.198780273	0.049285493	0.090430078
YNL286W	-1.225627418	6.827580778	2.26E-05	8.52E-05
YNL288W	-1.336933857	6.842664187	0.001562014	0.004257214
YNL289W	-0.032287223	7.619093441	0.893539599	0.957114348
YNL291C	0.157185439	8.593982459	0.485582086	0.592032742
YNL292W	-1.007069938	6.882664223	1.37E-05	5.29E-05
YNL293W	0.69246067	7.119662968	8.09E-05	0.000276472
YNL294C	-0.946675075	5.350569669	0.054115198	0.097850183
YNL295W	1.554476227	7.120126317	1.87E-16	2.01E-15
YNL296W	8.228593008	2.33068691	7.29E-10	4.56E-09
YNL297C	5.232331487	-0.025980984	0.024322948	0.048764544
YNL298W	3.630028765	1.954437778	0.208354576	0.300161008
YNL299W	-1.45462543	7.024903817	1.05E-05	4.12E-05
YNL300W	0.786189128	8.019252474	7.16E-06	2.89E-05
YNL301C	0.432552004	8.235547279	0.000172866	0.000558993
YNL302C	7.777215409	1.84412905	0.002388137	0.006271721
YNL303W	0.479631943	7.913128634	0.001318976	0.003662833
YNL304W	-1.722391353	8.150338778	2.46E-19	3.36E-18
YNL305C	-2.445062543	9.276388844	1.34E-25	2.93E-24
YNL307C	5.726521423	0.343560321	0.005312313	0.012716137
YNL311C	-0.02056819	7.589507882	0.909243605	0.970395018
YNL314W	0.347099375	8.740933788	0.002689668	0.006952539
YNL315C_1	0	-1.062674125	1	1
YNL316C	-0.190100554	6.919238667	0.247046296	0.344891398
YNL318C	0.329472408	8.710332076	0.024992979	0.049864633
YNL319W	0.11203333	8.565106958	0.552303697	0.658471403
YNL320W	0.279777566	8.39823096	0.030278345	0.05902805
YNL321W	0.183183464	8.678942319	0.251826385	0.350137567
YNL322C	-4.784771029	6.145592626	2.82E-12	2.18E-11
YNL323W	-1.17916685	4.002608752	0.002623838	0.006799479
YNL324W	-4.03069441	8.032993544	8.33E-23	1.51E-21
YNL326C	-2.378483901	9.185243078	2.77E-20	4.16E-19
YNL327W	0.632380082	8.866986278	0.001105139	0.00313466
YNL329C	-0.313428993	8.53006896	0.017944834	0.037400237
YNL333W	-2.384712319	9.091421257	6.23E-27	1.53E-25
YNL334C	0.167457378	7.428746768	0.429512763	0.536890954
YNL335W	1.082167529	7.732443365	1.32E-10	8.79E-10
YNL336W	-0.180153709	6.099244313	0.400455872	0.508613607
YNL338W	-3.987068323	9.974133922	3.92E-56	7.33E-54
YNL339C	0.75399765	8.773825002	4.29E-07	2.00E-06
YNR001C	-1.381713561	6.947909616	4.67E-10	2.98E-09
YNR002C	0.783785672	8.787910232	1.14E-09	7.00E-09
YNR004W	1.380892721	8.457097282	7.96E-23	1.45E-21
YNR005C	-0.932682247	4.376477786	0.06963949	0.122002687
YNR006W	-0.090347109	3.718951768	0.93605141	0.990517841
YNR007C	0.804210482	7.263184	0.130732722	0.204683946
YNR008W	0.478813086	8.470139121	0.000192769	0.00061752
YNR009W	1.289690743	8.199314347	8.04E-20	1.15E-18
YNR010W	0.59677224	0.58063222	0.775818328	0.857871822
YNR013C	1.370999125	7.32314624	4.07E-07	1.90E-06
YNR018W	0.396746768	6.848404436	0.289825653	0.391836656
YNR022C	0.363901734	7.249835722	0.04129736	0.07732672
YNR023W	0	-1.062674125	1	1
YNR025C	3.453415685	6.968260913	1.14E-42	8.99E-41
YNR027W	-0.356861435	5.823507017	0.225833299	0.320945664
YNR028W	-2.221788078	8.681116888	1.85E-13	1.58E-12
YNR029C	-1.207567629	7.125323932	7.33E-05	0.000252663
YNR030W	-2.326573446	6.896763573	7.88E-10	4.92E-09
YNR031C	-0.324973972	6.446595838	0.291505646	0.39359246
YNR032C-A	0.282163297	8.178724642	0.072655026	0.126369935
YNR032W	-1.334509448	9.366726621	3.97E-21	6.37E-20
YNR033W_1	0.155542869	8.170513219	0.275702808	0.377099899
YNR033W_2	-1.578062265	8.761607079	4.09E-26	9.34E-25
YNR034W	0.684313384	8.531446986	1.04E-05	4.11E-05
YNR037C	0.000724048	3.078176925	1	1
YNR039C	0.090022429	8.246691283	0.550764095	0.657079951
YNR040W	0.510506855	7.076841671	0.025027274	0.049908828
YNR041C	-1.81736733	1.75428138	0.208358838	0.300161008
YNR042W	-0.157724881	-0.094093199	1	1
YNR044W	-2.237345105	8.963789325	6.78E-15	6.56E-14
YNR047W	1.59614836	7.135426831	1.66E-13	1.43E-12
YNR048W	-2.707271636	8.746093651	1.38E-10	9.17E-10
YNR049C	0.647538487	8.168354175	3.36E-05	0.00012229
YNR050C	-3.131325339	6.90312595	4.73E-18	5.73E-17
YNR051C	-1.324799051	3.985683608	0.050757098	0.092757525
YNR052C_1	0	-1.062674125	1	1
YNR052C_2	0	-1.062674125	1	1
YNR055C	-0.126124802	7.931111316	0.647665133	0.745840206
YNR056C	0.115794063	6.462292745	0.590360602	0.694243799
YNR057C	0.695396348	8.064039869	0.000803248	0.002320878
YNR058W	-0.481087059	5.945086352	0.079578142	0.136427561
YNR060W	0.277724555	7.42382855	0.186799254	0.27419462
YNR061C	0.018166749	7.605261626	0.913917976	0.974197355
YNR063W	-3.310698099	8.688810097	7.28E-37	3.69E-35
YNR064C	0.271210413	7.675254837	0.133740865	0.208052595
YNR065C	-0.183027287	7.464781392	0.343658221	0.449533828
YNR066C	0.268108447	7.695789497	0.207877751	0.299886822
YNR067C	-0.412548496	7.76599137	0.008223159	0.018755373
YNR068C	9.591971329	3.579781176	1.57E-18	1.95E-17
YNR069C	0.402481757	8.360319034	0.056074997	0.100729125
YNR070W	-0.373656842	8.227229279	0.030711985	0.059794532
YNR071C	-0.320667078	8.082453674	0.013852246	0.029792115
YNR072W	0.109619222	8.503184734	0.427818131	0.53526104
YNR074C	0.194228245	7.1906727	0.221015424	0.315626614
YNR075W	0.284905915	8.389918257	0.052907391	0.095961773
YOL001W	0.584750241	6.814182058	0.00338173	0.008558441
YOL002C	0.489835024	7.967623569	0.042979262	0.079976167
YOL003C	1.013897203	6.887452142	0.002520649	0.006577694
YOL004W	0	-1.062674125	1	1
YOL006C	9.213796577	3.233652825	1.04E-12	8.38E-12
YOL008W	-2.283956747	0.765802718	0.222705091	0.317708409
YOL009C	0	-1.062674125	1	1
YOL011W	0.595257178	6.226670095	0.03921664	0.074140014
YOL012C	0	-1.062674125	1	1
YOL013C	-0.64489371	8.31265928	0.000140859	0.000463145
YOL013W-A	-1.981132598	9.615396093	5.29E-10	3.35E-09
YOL013W-B	0.00822472	8.499315979	0.959223829	1
YOL014W	0.380341856	8.499485368	0.012090645	0.026376089
YOL015W	0.667824542	7.764548391	3.44E-05	0.000125077
YOL016C	0.966651262	8.318343105	2.95E-12	2.27E-11
YOL019W	-2.027195825	9.319545591	7.49E-09	4.27E-08
YOL019W-A	-0.287401577	8.77936035	0.176679381	0.261293563
YOL020W	7.903271985	6.240903144	2.81E-35	1.25E-33
YOL023W	4.781529337	-0.168230403	0.030216612	0.05894772
YOL025W	1.027139848	8.68444745	1.81E-09	1.10E-08
YOL027C	1.866980476	4.5532336	8.21E-05	0.000280374
YOL030W	0.458421707	8.828792071	0.00767308	0.017647656
