Gene	logFC	logCPM	PValue	FDR
YAL002W	2.885795449	2.291305465	0.024643281	0.049310558
YAL004W	-0.315657711	8.553918721	0.077699041	0.134041365
YAL005C	-0.229248818	8.515047563	0.116903679	0.187043517
YAL007C	-0.212466578	7.778041873	0.186632086	0.274047114
YAL008W	-1.593290001	10.10195831	1.75E-34	7.40E-33
YAL009W	2.546815543	3.067438715	0.016489615	0.034755035
YAL011W	0.844352508	2.200878144	0.457816	0.564053589
YAL013W	-0.788373607	1.255448711	0.706746846	0.800421476
YAL014C	-1.611081652	8.562837944	4.34E-23	8.15E-22
YAL015C	-0.044873254	8.350656072	0.754312004	0.839486146
YAL016W	0.556601195	-0.172231957	0.852619278	0.924364345
YAL017W	0.858129638	7.878131884	2.52E-08	1.35E-07
YAL018C	0.21095912	8.199411294	0.285281391	0.387093601
YAL019W	1.536220352	4.784865511	2.66E-07	1.27E-06
YAL020C	0.2101364	1.754840958	0.873318589	0.94109508
YAL021C_1	3.474878986	-0.642196621	0.132589239	0.206882909
YAL022C	-1.572599803	8.152940456	7.94E-08	4.01E-07
YAL023C	0.052053475	3.834782433	0.941658567	0.995207317
YAL024C	0.993546585	7.493656128	0.000226642	0.000718195
YAL026C	0	-1.062674125	1	1
YAL027W	0.253468509	9.153249115	0.045779548	0.084677742
YAL028W	0.576065213	9.026920581	6.87E-06	2.77E-05
YAL029C	0.218292247	8.315973357	0.0723096	0.12587567
YAL030W	0.477969319	8.578473792	0.00316235	0.008042857
YAL031C	-3.465773135	9.167008717	5.57E-29	1.59E-27
YAL034C	-2.348301719	9.69315981	4.09E-38	2.27E-36
YAL036C	-1.544620434	9.349215739	1.11E-11	8.25E-11
YAL037C-A	-0.041360609	8.999737989	0.754951611	0.839970525
YAL037W	0.264851713	7.962188179	0.060776603	0.107948073
YAL039C	-2.532094585	3.458325596	0.004755805	0.011538583
YAL040C	0.905490461	5.828531567	0.051452331	0.093694764
YAL042W	0.04924898	8.180557529	0.860740769	0.930643037
YAL043C-A	-0.113331754	7.54376549	0.655137331	0.752757738
YAL044C	-2.851341653	5.947044999	4.55E-09	2.65E-08
YAL044W-A	-0.203400861	8.096709897	0.245166582	0.342732875
YAL045C	-1.882799596	8.756112591	2.53E-46	2.36E-44
YAL046C	0.12364057	7.592253355	0.457830358	0.564053589
YAL048C	-1.944160902	7.95527339	8.61E-08	4.32E-07
YAL049C_1	-0.709514539	8.677304414	1.79E-05	6.82E-05
YAL051W	1.121016704	8.361875768	4.51E-13	3.76E-12
YAL053W	1.031901746	7.811382959	4.02E-08	2.12E-07
YAL055W	-0.997927214	4.476222344	0.039728118	0.074934632
YAL056W	-1.372292521	7.784795274	1.09E-09	6.73E-09
YAL058C-A	1.590512906	4.028907016	0.000228085	0.000722209
YAL058W	1.679556993	5.589804121	7.59E-09	4.32E-08
YAL059W	2.151295996	7.383342113	4.35E-21	6.95E-20
YAL060W	0.169629872	8.955195256	0.367973049	0.476192906
YAL061W	0.225151676	8.584475614	0.127459814	0.201097826
YAL062W	0.129880874	8.951608667	0.409866743	0.518802684
YAL064C-A	0.914202448	7.981436127	2.62E-08	1.40E-07
YAL065C	-2.323199513	8.910104963	7.91E-11	5.37E-10
YAL066W	-0.048093989	7.833360847	0.707410092	0.800731335
YAL067C	0.723511875	8.477241321	6.92E-07	3.14E-06
YAL068C	0.218632455	8.489728832	0.163209052	0.245081916
YAR002W	6.935650102	1.201267679	1.40E-08	7.76E-08
YAR003W	3.717984013	5.217835724	1.58E-17	1.87E-16
YAR014C	2.860760742	7.061383331	1.20E-38	7.14E-37
YAR018C	3.70355674	7.077755203	7.34E-35	3.18E-33
YAR020C	-0.558475267	7.820873784	0.008820597	0.019940954
YAR023C	-0.264760974	5.067733654	0.601995794	0.704901058
YAR027W	0.5326011	7.564327919	0.041788623	0.078104248
YAR028W	0.704771871	9.18478317	3.06E-10	2.00E-09
YAR029W	0.592190148	7.933379831	0.000251314	0.000790888
YAR030C	0.333173288	8.319163982	0.016892969	0.035514119
YAR031W	0.174834895	5.631410797	0.48758843	0.594126429
YAR035C-A	0.178235087	8.440515635	0.236761171	0.333249457
YAR035W	0.800967143	7.167842303	0.000326394	0.001007873
YAR037W	1.003802356	8.762439096	5.07E-14	4.58E-13
YAR040C	0.96079222	8.894043821	8.78E-09	4.94E-08
YAR042W_1t	1.142112168	8.058186814	1.25E-11	9.23E-11
YAR042W_2	0.449925814	6.413029	0.019955542	0.041132035
YAR044W	1.044427542	7.979243218	8.48E-14	7.50E-13
YAR047C	0.234199483	8.339689213	0.228590889	0.323968466
YAR050W	0.322873118	7.511745239	0.050335179	0.092150373
YBL001C	0.708955913	8.138984747	3.50E-10	2.26E-09
YBL002W	0.883130647	8.455356298	7.89E-09	4.47E-08
YBL003C	0.538211689	4.986695545	0.23047132	0.325984284
YBL005W	0.651552855	8.420134115	2.94E-05	0.000108562
YBL006C	2.667295793	4.680304093	6.84E-05	0.000236569
YBL007C	0	-1.062674125	1	1
YBL008W	2.982088024	4.391108264	5.33E-11	3.67E-10
YBL009W	0.214078585	8.352534526	0.188163945	0.275510036
YBL010C	0.323232929	8.203894323	0.03736559	0.071032644
YBL011W	0.979912184	6.141446955	0.000100795	0.000339843
YBL012C	0.743474729	5.380146383	0.159320395	0.240560919
YBL013W	2.015657206	7.033170792	1.86E-15	1.87E-14
YBL015W	-0.718923103	6.465358188	0.173251052	0.25706203
YBL016W	-0.934804975	8.880993796	6.06E-07	2.78E-06
YBL017C	-0.288144449	7.680054846	0.194729246	0.283505916
YBL019W	-0.676357543	2.871925918	0.384163696	0.492179798
YBL021C	-2.01929709	0.581231533	0.309179303	0.412523186
YBL022C	-1.402699277	6.50261377	0.002156006	0.005716893
YBL024W	0.901823406	7.075178538	8.27E-06	3.30E-05
YBL027W	1.909791227	0.687386204	0.317348427	0.420200398
YBL029W	-0.176006713	5.774870607	0.622937174	0.722424318
YBL031W	0	-1.062674125	1	1
YBL032W	0	-1.062674125	1	1
YBL036C	-0.958848711	2.919667755	0.255886397	0.354373126
YBL037W	0.141280669	8.096627836	0.306782527	0.410575118
YBL038W	0	-1.062674125	1	1
YBL039W-A	-0.47528602	5.785960561	0.06022724	0.107157557
YBL042C	0.445727606	5.370980306	0.307697509	0.411154383
YBL043W	3.628621325	-0.551637594	0.121163186	0.192493504
YBL044W	-0.246279774	5.307578618	0.427539137	0.535074864
YBL045C	-3.681602299	3.290095517	0.001214769	0.003407985
YBL047C	-1.894753752	2.803172801	0.075550185	0.130851774
YBL049W	0.168109181	8.528833794	0.420614234	0.5293094
YBL051C	0.563447226	3.884415672	0.1569186	0.237457823
YBL053W	1.536153376	4.115943418	0.033229504	0.064088814
YBL055C	-0.239582574	7.920259806	0.326396448	0.429964552
YBL056W	1.160610175	8.855756272	1.86E-11	1.34E-10
YBL057C	-1.476768825	3.884549512	0.0116453	0.025526497
YBL058W	0	-1.062674125	1	1
YBL059W	-0.32767326	7.164359457	0.078494517	0.134871432
YBL061C	-0.448382474	8.716871837	0.184244013	0.271315977
YBL062W	-1.076080581	3.339620975	0.14298063	0.219007514
YBL063W	0.600218948	8.027588938	0.000305909	0.00094961
YBL064C	0.322939784	7.63178911	0.052224898	0.094975368
YBL065W	-0.290858244	5.607147639	0.575173578	0.679786718
YBL066C	7.273323165	1.38127151	0.012848195	0.027880719
YBL067C	1.486657692	6.249372182	1.09E-07	5.42E-07
YBL068W	0.77505611	8.181004083	7.97E-08	4.02E-07
YBL069W	0.489262677	9.212818368	2.30E-05	8.63E-05
YBL070C	0.55751616	9.338692278	0.000630814	0.001863871
YBL071C	4.358436862	1.644917422	0.001477743	0.004043625
YBL071W-A	0	-1.062674125	1	1
YBL072C	0.368879288	4.28684615	0.475261305	0.582733879
YBL075C	0.216043191	9.20910293	0.116913575	0.187043517
YBL078C	0.806748579	8.013303145	4.33E-09	2.52E-08
YBL079W	5.020634697	0.019550871	0.020348346	0.04189965
YBL080C	-0.141680014	3.154362476	0.885741582	0.950992137
YBL081W	-0.479547984	6.768750192	0.086442348	0.146446022
YBL082C	-2.847487243	1.809559978	0.049724626	0.091154421
YBL083C	-5.64760299	9.285004201	2.92E-67	8.01E-65
YBL085W	0.669830378	9.512751939	8.34E-08	4.20E-07
YBL086C	-0.04929962	8.122553415	0.768999406	0.852599827
YBL087C	5.509423399	2.95361853	3.81E-05	0.000137854
YBL088C	1.025475344	8.559289855	8.21E-14	7.27E-13
YBL089W	0	-1.062674125	1	1
YBL090W	-2.527351888	3.524061687	0.007806747	0.017904983
YBL091C	0.172618429	8.669595702	0.168513714	0.251639571
YBL091C-A_1t	0.496729823	8.757805101	0.000224394	0.000712721
YBL091C-A_2	0.271862536	9.214334135	0.07832432	0.134745557
YBL094C	-0.141259831	8.300488593	0.379169925	0.487502341
YBL095W	-0.674014174	8.016379377	0.011792777	0.025808473
YBL096C	-0.333073979	8.256928364	0.095455718	0.159028374
YBL098W	0.335219717	8.639799221	0.006817978	0.015939642
YBL099W	-3.3744979	-0.579206684	0.142953324	0.219007514
YBL100C	0	-1.062674125	1	1
YBL101W-C	-0.317128168	6.051065055	0.278384966	0.379871778
YBL102W	-0.02577643	8.444634575	0.84187438	0.916098412
YBL103C	-0.806886531	5.602500362	0.09386065	0.156752243
YBL104C_1t	3.261933046	7.906800621	1.70E-54	2.79E-52
YBL104C_2	2.65648816	7.281931964	2.40E-44	2.14E-42
YBL107C	0.114189358	8.532404414	0.37811153	0.486549276
YBR001C	-2.670136843	9.58121922	5.02E-19	6.51E-18
YBR003W	-6.5723345	0.950217282	1.46E-06	6.40E-06
YBR005W	0.109017672	7.903428152	0.429127249	0.536572252
YBR006W	-3.961391648	9.754190964	3.29E-37	1.71E-35
YBR007C	-0.033289999	8.623754311	0.812616768	0.890865542
YBR008C	0.145999453	8.26480069	0.309671629	0.412828542
YBR009C	8.673417505	5.954107612	9.45E-92	6.48E-89
YBR010W	2.098670264	6.617357808	1.37E-15	1.41E-14
YBR012C	0.418914881	8.774561997	0.00430139	0.010573392
YBR013C	0.000475897	7.782980949	0.999512279	1
YBR014C	0.235997088	7.716329164	0.293533047	0.396007581
YBR015C	-3.354619618	4.204103048	2.81E-06	1.19E-05
YBR016W	0.017631937	8.365931032	0.908654232	0.970017895
YBR018C	-0.758388712	7.845800592	1.90E-05	7.22E-05
YBR019C	-0.231060831	7.935997654	0.206011364	0.297403128
YBR020W_1	-3.502555977	9.338004761	4.58E-19	5.95E-18
YBR021W	3.678711798	0.991826113	0.01617354	0.034194058
YBR022W	0.372172844	8.568733197	0.010936598	0.024127439
YBR023C	-0.163172717	6.184968862	0.634993935	0.734334573
YBR024W	0.049180999	6.447799471	0.837805749	0.91312162
YBR025C	4.364723306	4.19716961	4.11E-08	2.16E-07
YBR026C	0.681273419	2.766232034	0.430186118	0.537405759
YBR027C	-0.069470965	8.313330548	0.669202136	0.765707344
YBR028C	1.898030542	6.236785017	1.45E-12	1.15E-11
YBR030W	1.560312825	4.754435356	0.012177017	0.02655042
YBR032W	0.21382801	7.299146808	0.195454645	0.28425994
YBR033W	0.197417227	8.445548842	0.158138827	0.239128249
YBR034C	-0.888071077	6.631697301	0.003887617	0.009660282
YBR035C	-1.963019761	2.177154498	0.173803409	0.2576026
YBR036C	10.0707889	4.057500287	1.57E-15	1.60E-14
YBR039W	4.051773415	-0.56085983	0.108254869	0.175860677
YBR041W	-0.7446168	6.937001108	0.000270209	0.000847109
YBR042C	0.617810474	6.564085345	0.003183309	0.008086156
YBR043C	0.155961199	7.864230455	0.251037519	0.34939526
YBR045C	-0.312218622	8.391628264	0.041171599	0.077161548
YBR046C	0.30155125	7.632679059	0.098795006	0.163399387
YBR047W	-0.071234693	6.920030533	0.779552342	0.861279604
YBR048W	4.468315068	1.672233575	7.12E-05	0.000245844
YBR050C	-2.917332814	8.723321645	1.36E-40	9.48E-39
YBR051W	-2.067711225	9.362788196	2.68E-32	1.01E-30
YBR052C	-0.276359378	8.456164286	0.014954013	0.031920874
YBR053C	-1.473909255	8.814342853	7.64E-05	0.000262181
YBR054W	0.264921522	8.379238846	0.233868906	0.329969518
YBR056W	-3.228963337	7.085129908	4.62E-17	5.23E-16
YBR056W-A	0.2973975	8.129331741	0.011440343	0.025130845
YBR057C	-2.465911055	9.384149981	3.12E-33	1.23E-31
YBR058C	-0.406458002	5.870908299	0.442408087	0.549999164
YBR058C-A	2.715472704	1.422530685	0.084198216	0.143412627
YBR059C	1.547945914	7.389387503	1.04E-18	1.32E-17
YBR062C_2	0.337232603	8.359869854	0.058040464	0.103715786
YBR063C	-3.137798877	7.073908246	4.94E-15	4.82E-14
YBR064W	0.313922248	8.614228949	0.034190119	0.065725626
YBR065C	-0.068631801	6.610006397	0.892080325	0.956548431
YBR066C	0.869842836	8.299800607	3.51E-06	1.47E-05
YBR067C	0.182958341	8.630177448	0.284165008	0.385706136
YBR068C	0.240621338	7.278932209	0.313790568	0.416723527
YBR069C	0	-1.062674125	1	1
YBR071W	0.173103629	7.053791145	0.458276874	0.564434508
YBR072C-A	0.053181622	6.073467421	0.843805315	0.91795655
YBR072W	0.306182843	7.992920783	0.013055444	0.028255859
YBR074W_1t	-1.653502695	9.455157734	1.79E-31	6.07E-30
YBR074W_2	0.23238933	8.900292369	0.05912522	0.10547077
YBR075W_1	0.142630139	6.653641803	0.543451508	0.649109474
YBR077C	2.57431756	8.242707914	7.20E-30	2.24E-28
YBR078W	-1.992521085	1.536618222	0.142069044	0.21805014
YBR083W	0.130939729	8.338997238	0.48124226	0.588487263
YBR084C-A	2.358390437	2.434115453	0.040273408	0.075858711
YBR084W	1.91309114	7.419801293	1.59E-08	8.72E-08
YBR085W	-0.035549271	7.802112904	0.848116277	0.920939999
YBR090C	-0.198493341	8.445548716	0.161429002	0.24311953
YBR090C-A	-0.651062239	8.744570477	0.000149811	0.000490225
YBR092C	-0.304831329	8.212161067	0.062818774	0.111190854
YBR093C	0.519406653	8.212609171	0.002604635	0.006764337
YBR094W	0.762012311	7.264375724	3.90E-08	2.06E-07
YBR095C	-2.449815706	1.515872704	0.0918776	0.153887906
YBR097W	0	-1.062674125	1	1
YBR098W_1t	1.694724303	6.850200682	3.09E-20	4.61E-19
YBR098W_2	1.525897202	7.121893637	2.92E-20	4.37E-19
YBR100W	1.159649948	6.616855138	2.03E-08	1.10E-07
YBR101C	1.700338609	7.569266977	4.06E-08	2.14E-07
YBR103W	0.575553953	4.852104855	0.307689146	0.411154383
YBR104W	-0.422949877	6.128606607	0.081713582	0.139527554
YBR105C_1	-0.728147906	4.470368979	0.216450085	0.309537179
YBR105C_2	-1.539765808	5.447679925	1.79E-08	9.70E-08
YBR106W	0	-1.062674125	1	1
YBR111W-A	3.666028388	-0.645932276	0.13263661	0.206882909
YBR114W	-0.704333056	5.336377915	0.181458261	0.26759722
YBR119W	3.530467416	2.063066084	0.018813022	0.039011867
YBR120C	-1.276405766	8.304420002	8.09E-23	1.47E-21
YBR122C	4.881643207	-0.138691545	0.052529679	0.095402996
YBR125C	-0.578673432	7.788157675	0.017919095	0.037380224
YBR128C	0	-1.062674125	1	1
YBR130C	-2.215495265	7.784395212	5.34E-08	2.74E-07
YBR131W	-2.294108013	4.603915657	4.93E-05	0.000173863
YBR133C_2	0.735153028	7.833852869	1.37E-05	5.29E-05
YBR134W	1.868532249	7.389891999	5.16E-23	9.65E-22
YBR137W	0.690931494	9.118604455	1.05E-07	5.25E-07
YBR138C	0.08885847	8.310923944	0.629974649	0.729145539
YBR139W	-2.702283013	9.359524704	1.86E-11	1.34E-10
YBR144C	0.026618461	8.938336997	0.859520945	0.929918741
YBR145W	-0.153854299	7.472821679	0.386321376	0.494481736
YBR147W	0.379846673	8.986738242	0.005688353	0.013498345
YBR148W	0.332594129	8.850310287	0.023949891	0.048251987
YBR151W	0.170827544	8.179334069	0.317700444	0.420531022
YBR157C_1t	0.270499033	8.596517007	0.048160599	0.088563786
YBR157C_2	0.090516333	9.417363274	0.551243616	0.657461191
YBR159W	-0.408668815	5.232587843	0.386537846	0.494604778
YBR161W	0.540555053	8.568621006	7.55E-05	0.000259405
YBR162C	-1.982343784	9.46802256	1.71E-06	7.42E-06
YBR162W-A	-0.17094595	8.712474056	0.242745318	0.34004201
YBR164C	-4.140410095	5.889911257	4.30E-20	6.29E-19
YBR166C	-7.207288464	8.682270346	1.97E-236	8.09E-233
YBR168W	4.655050772	5.886119948	3.88E-22	6.70E-21
YBR169C	0.213423886	7.812263042	0.189206886	0.276555906
YBR170C	1.015490383	5.858682109	0.006423886	0.015061137
YBR171W	0.082639437	1.080714965	0.973112085	1
YBR172C	1.477705601	7.297186196	2.11E-11	1.50E-10
YBR174C	3.766891894	5.591183079	4.89E-17	5.50E-16
YBR175W	4.015324075	4.618005172	8.27E-06	3.30E-05
YBR176W	-1.087329749	7.796100544	0.002161026	0.005726509
YBR177C	0.443372049	8.162381439	0.001294221	0.003603828
YBR178W	0.009925929	8.306721326	0.949466349	1
YBR179C	-0.821674691	1.22183126	0.55311682	0.659121523
YBR180W	0.576468899	7.8844519	0.011083906	0.024413105
YBR181C	7.066638667	1.315576729	2.48E-06	1.06E-05
YBR182C-A	-0.062381179	5.820330637	0.844950278	0.918715779
YBR183W	0.243223574	8.095563495	0.103435385	0.16930284
YBR184W	0.325388848	7.439281509	0.08023699	0.137348617
YBR185C	0.104503857	7.887608752	0.666605092	0.764011971
YBR189W	4.361214266	-0.456268314	0.090071994	0.151471316
YBR191W	5.739378221	0.34075231	0.001304629	0.003630348
YBR194W	3.70371569	5.242827369	8.39E-11	5.68E-10
YBR195C	3.01315766	7.21167422	6.29E-33	2.41E-31
YBR197C	0.501700024	8.382079421	0.016329772	0.034471168
YBR199W	-0.317009082	7.113737615	0.164921163	0.247021129
YBR200W	0	-1.062674125	1	1
YBR201W_2	-0.51778765	9.119371155	0.016648326	0.035035647
YBR204C	-0.080033464	8.617781522	0.614983082	0.715267545
YBR205W	0.337178415	8.652691824	0.026919159	0.053249123
YBR207W	-0.885670185	7.060776682	8.25E-06	3.29E-05
YBR208C	0.328949437	8.529749343	0.007495531	0.017277977
YBR209W	0.029813394	7.372920987	0.855149967	0.926863492
YBR212W	-0.877378649	8.025347377	2.31E-05	8.65E-05
YBR214W	0.556384401	5.971472042	0.050519961	0.09237166
YBR215W	3.823662598	6.169378731	3.70E-31	1.23E-29
YBR216C	1.96753187	9.180146203	1.21E-49	1.42E-47
YBR217W	1.54998393	7.849784717	5.05E-13	4.19E-12
YBR218C	0.591045122	8.515120824	1.36E-05	5.26E-05
YBR219C	-0.07307527	8.091548753	0.648764078	0.746896459
YBR220C	-0.553092076	8.404249874	0.000891639	0.002560892
YBR221C	-1.951390386	6.6479137	3.37E-12	2.57E-11
YBR221W-A	-0.500213082	5.445948712	0.118862563	0.189509221
YBR222C	0.343662162	8.631492232	0.011335079	0.024934535
YBR224W	1.746721935	7.132235297	6.90E-14	6.14E-13
YBR225W	-0.572198106	5.952038451	0.028350396	0.055777945
YBR226C	1.760269448	8.31170119	4.90E-25	1.03E-23
YBR227C	-1.304959397	6.894121054	0.000445774	0.001348147
YBR228W	0.068738663	8.590954571	0.734926557	0.823805089
YBR229C	-1.022423339	7.337311719	1.60E-08	8.77E-08
YBR230C	-2.604299491	9.744917884	2.12E-51	2.81E-49
YBR230W-A	0.31646435	9.16982691	0.012199576	0.026585502
YBR231C	1.034861696	2.226181435	0.533309861	0.639225293
YBR232C	-0.351310259	7.95299108	0.056618857	0.101572895
YBR233W	1.785447379	8.335446706	1.56E-41	1.14E-39
YBR239C	-1.188167065	6.991940805	2.93E-05	0.000108228
YBR240C	0.247002638	8.196835328	0.168775928	0.251785504
YBR241C	0.03887095	8.363095442	0.751543185	0.8373116
YBR242W	-0.006993658	8.055164191	0.958611885	1
YBR244W	0.171690779	8.917170603	0.199305781	0.289144638
YBR245C	2.111744539	6.528529131	3.20E-22	5.60E-21
YBR246W	2.655539303	6.757414845	1.94E-20	2.97E-19
YBR248C	0.175164068	8.734769968	0.327739168	0.431456752
YBR249C	-8.088012214	5.642847862	3.00E-32	1.12E-30
YBR250W	0.190634762	8.234941097	0.094150868	0.157173058
YBR251W	-1.85724722	3.200753612	0.081098288	0.138534483
YBR255W	-0.38969184	6.983909898	0.143672594	0.219841535
YBR258C	-0.066674654	8.219560342	0.681085108	0.776924728
YBR259W	0.121098148	8.38970242	0.371457839	0.47951929
YBR260C	0.174405314	7.516591873	0.674310124	0.770479457
YBR261C	0.566129864	7.036697673	0.012446179	0.027094172
YBR262C	-0.350202879	8.463470378	0.04682582	0.086418554
YBR263W	-0.704177985	7.51354754	1.16E-05	4.52E-05
YBR264C	-0.13537115	8.324189757	0.355089753	0.46213391
YBR266C	5.72394404	0.324841285	0.004611192	0.011227487
YBR267W	1.019145602	-0.239555003	0.627752149	0.726982624
YBR268W	-2.001223712	0.67571246	0.282023687	0.38355968
YBR269C	-0.124150687	7.783044074	0.535855224	0.64152781
YBR270C	0.240066842	8.740440042	0.047647483	0.087737972
YBR271W	0.256179731	8.270560939	0.059960734	0.106729586
YBR272C	-0.72814605	7.618224462	0.000233338	0.000736575
YBR273C	-0.286155404	7.867829996	0.139931583	0.215701113
YBR274W_2	-0.271028782	8.663517267	0.026478738	0.052497644
YBR275C	0.836097051	7.197892272	0.00028407	0.000884489
YBR277C	1.293777049	6.95911375	6.76E-13	5.54E-12
YBR278W	0.949097221	7.205939352	1.60E-07	7.76E-07
YBR279W	0	-1.062674125	1	1
YBR280C	0.280635331	8.196611563	0.034104721	0.065592139
YBR281C	-0.094116239	8.533339581	0.612025699	0.713191273
YBR283C	-4.108372918	7.638571816	8.86E-17	9.86E-16
YBR284W	0.114776949	9.258613064	0.572086622	0.67739128
YBR285W	-0.294328755	8.969559212	0.044434597	0.082449749
YBR286W	0.097632146	8.985588506	0.531358638	0.63781659
YBR287W	-0.772865524	8.593311801	0.000274789	0.000860777
YBR289W	3.931869284	-0.597267757	0.11361098	0.182398878
YBR290W	0.784523111	3.733758704	0.296898684	0.399952012
YBR291C	-0.078615003	8.195863695	0.53168547	0.637921688
YBR292C	0.214554579	5.812235925	0.469759365	0.577193121
YBR293W	-0.433189208	6.478970907	0.098151134	0.162399823
YBR294W	0.09205097	8.878795019	0.578055649	0.682507532
YBR296C	0.275652239	5.974881981	0.311722863	0.414487534
YBR296C-A	0.025958426	8.933486041	0.836956838	0.912438356
YBR297W	0.10617624	9.187766751	0.388606517	0.49668223
YBR298C	0.222659979	5.952485987	0.377475178	0.486472153
YBR300C	-0.353194427	5.291686009	0.309965736	0.412952731
YBR301W	-0.012025259	8.58401143	0.920868659	0.979399895
YCL001W	0.170273462	7.351602803	0.510407497	0.617157523
YCL001W-A	1.066370544	5.214850549	0.091883436	0.153887906
YCL002C_2	0.383657486	9.042333996	0.035170356	0.067452247
YCL005W	-0.587691958	5.069333018	0.092824603	0.155306115
YCL005W-A	0	-1.062674125	1	1
YCL006C	-0.416248414	8.708021148	0.002744646	0.007072412
YCL007C	4.051773415	-0.56085983	0.108254869	0.175860677
YCL008C	5.370032814	0.066070216	0.021923822	0.04465159
YCL009C	0.664200038	8.130322626	1.74E-05	6.63E-05
YCL010C	0.400425031	0.870461003	0.866672765	0.935651449
YCL011C	0.447928031	9.596186457	0.015910162	0.03370658
YCL012C	0.086647291	8.403751624	0.5658086	0.671519881
YCL012W	0.509543111	9.084430899	4.59E-05	0.000162875
YCL013W	0.495674078	8.124088941	0.002688962	0.006952539
YCL014W_2	-0.253401122	8.590892372	0.158701993	0.239803378
YCL016C	4.183845458	3.298605682	0.014916629	0.031864526
YCL021W-A	0.286341926	7.725581078	0.080202317	0.137346467
YCL023C	-1.580011929	10.45777876	3.78E-22	6.55E-21
YCL024W	0.446524576	8.952572367	0.006112099	0.014387586
YCL026C	0.620820778	9.16861209	8.62E-07	3.86E-06
YCL026C-A	0.945021617	8.85980639	2.07E-10	1.36E-09
YCL026C-B	0.14029861	7.761502308	0.391448293	0.498868988
YCL027W	0.174522873	8.178787877	0.224531862	0.319648754
YCL033C	0.277903962	8.355555082	0.184723218	0.271924222
YCL035C	-2.684841436	9.905267799	7.68E-29	2.18E-27
YCL036W	0.283715616	8.330182021	0.234757788	0.33088289
YCL037C	0	-1.062674125	1	1
YCL038C	-0.170181376	6.362064473	0.575363927	0.679786718
YCL039W	0.472039382	8.993946922	0.003034931	0.007757192
YCL044C	-0.19637396	7.628352854	0.347870427	0.454465179
YCL046W	0.314068824	5.98624899	0.258132426	0.356853102
YCL049C	-0.036809895	7.944866774	0.813220852	0.891290054
YCL050C	1.360429718	8.948614433	1.44E-26	3.44E-25
YCL051W	0	-1.062674125	1	1
YCL056C	0.78623098	9.204145834	1.07E-08	5.98E-08
YCL057W	-0.540410251	7.59307713	0.017138113	0.035937574
YCL058C	7.145035784	1.301967671	0.000847115	0.002439834
YCL060C	2.534936489	6.078741728	5.68E-19	7.29E-18
YCL061C_2	2.489989604	3.864154524	6.51E-05	0.000225909
YCL062W	0.602141864	5.992104557	0.010188987	0.022660572
YCL063W	2.57226409	5.029761688	3.49E-19	4.59E-18
YCL064C	0.375023705	8.530185217	0.076354928	0.132050656
YCL069W	0.512052487	8.98526881	0.000167878	0.000544148
YCL074W	-0.964387487	7.520626662	4.83E-05	0.000170638
YCL075W	-0.031105133	9.45734892	0.851604254	0.92375125
YCL076W	-0.131999648	7.287050356	0.640660593	0.739639056
YCR003W	-1.328450129	3.425956379	0.054644424	0.098590246
YCR005C	0.519587105	9.02954039	0.003197922	0.008118259
YCR006C	0.091826311	8.422844884	0.592326846	0.69615766
YCR007C	0.316417655	5.546980055	0.164307533	0.246191747
YCR009C	-1.40651805	5.887108183	0.004747897	0.011538583
YCR010C	0.104002675	8.557692243	0.484994904	0.59171741
YCR011C	0.364960204	6.61296337	0.152102327	0.231015949
YCR015C	0.832151113	6.748445265	2.02E-06	8.69E-06
YCR016W	1.902263028	8.044010388	3.94E-24	7.87E-23
YCR019W	0.23667509	7.896974056	0.103345802	0.16930284
YCR020C	0.366587788	8.897074457	0.006248054	0.01466562
YCR020C-A	3.842795886	8.22599136	4.49E-26	1.01E-24
YCR021C	0.779852161	9.161374286	0.003056791	0.007795418
YCR023C	0.79384665	9.18860249	2.30E-09	1.37E-08
YCR024C	-3.467523702	-0.665180341	0.128759468	0.202681506
YCR024C-A	-3.634450895	11.41886616	2.06E-23	3.94E-22
YCR025C	0.094578862	4.623252494	0.796579748	0.877467728
YCR027C	-0.292385548	7.147408213	0.31134994	0.414259713
YCR028C	-2.329599494	4.959494554	0.001120416	0.003171425
YCR028C-A	5.847274155	0.28873071	0.042132087	0.078674638
YCR030C	-0.284187752	7.460826846	0.404353253	0.512771327
YCR031C	5.933210633	3.704443306	6.20E-06	2.52E-05
YCR033W	0.249118641	5.961042972	0.373241077	0.481488018
YCR034W	0	-1.062674125	1	1
YCR036W	0.099528813	4.359165351	0.834286041	0.910492732
YCR037C	-1.602977896	7.060756882	1.12E-11	8.31E-11
YCR043C	-1.169069625	8.99869184	8.58E-07	3.86E-06
YCR044C	0	-1.062674125	1	1
YCR045C	0.261151914	6.042894638	0.198695483	0.288361029
YCR046C	0	-1.062674125	1	1
YCR048W	0.865835808	8.00442866	7.73E-06	3.10E-05
YCR049C	0.440499574	4.369502757	0.282339926	0.383735812
YCR050C	0.159422008	5.019358743	0.616079094	0.716087408
YCR051W	0.005406807	9.770679582	0.973809354	1
YCR053W	-2.037313693	6.608592589	0.000487871	0.001466826
YCR059C	-0.409360641	7.591592999	0.01702045	0.035727299
YCR060W	0.298254029	7.508250941	0.05258327	0.095416
YCR061W_2	0.180612542	8.577748271	0.231934728	0.327803209
YCR061W_3	0.210331323	8.536266702	0.123948861	0.196236448
